Country,2000,2005,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,..,..,34.3,38.6,39.9,..,45.2,50.5,..,53.4,58.8
Albania,99.1,99.8,..,..,..,..,..,..,..,..,99.8
Algeria,..,..,..,..,..,96.6,..,..,..,..,..
Andorra,..,..,..,..,..,..,..,100.0,100.0,100.0,..
Angola,..,..,..,..,..,..,..,..,46.6,..,..
Antigua and Barbuda,99.9,99.9,100.0,..,100.0,100.0,100.0,100.0,..,100.0,..
Argentina,99.1,99.1,95.0,97.1,98.2,97.0,99.6,99.6,98.4,93.9,..
Armenia,96.8,97.8,99.5,100.0,100.0,100.0,100.0,..,99.8,..,..
Australia,99.3,99.4,99.1,99.1,99.2,99.3,99.7,99.7,97.0,..,..
Austria,98.3,98.6,98.5,98.6,98.5,98.5,98.5,98.5,98.4,98.4,..
Azerbaijan,80.7,94.4,99.4,97.2,99.8,99.9,99.9,99.8,99.8,99.8,..
Bahamas,99.0,..,99.0,99.0,..,98.0,99.6,99.0,99.0,..,..
Bahrain,97.7,97.5,99.3,99.6,99.8,99.8,99.8,99.7,99.7,..,..
Bangladesh,12.1,..,26.5,31.7,..,36.5,42.1,..,49.8,67.8,..
Barbados,98.0,100.0,..,100.0,98.9,98.6,99.7,99.0,99.0,..,..
Belarus,99.9,100.0,99.9,99.8,100.0,99.8,99.8,..,..,..,..
Belize,..,..,94.0,96.2,..,94.2,..,91.9,96.8,92.2,..
Benin,..,..,..,..,80.9,..,77.2,..,..,..,78.1
Bhutan,27.3,52.3,64.5,70.0,81.0,89.0,89.0,89.0,89.0,97.2,96.4
Bolivia (Plurinational State of),67.3,..,..,84.0,84.8,..,..,72.8,89.8,71.3,..
Bosnia and Herzegovina,98.9,99.9,99.9,99.9,99.9,..,99.9,99.9,99.9,99.9,..
Botswana,98.5,94.0,99.1,99.8,99.8,99.9,99.5,99.7,99.7,..,..
Brazil,98.6,98.6,98.9,99.0,99.0,99.1,99.1,99.1,99.1,..,..
Brunei Darussalam,99.2,99.6,99.8,99.6,99.8,99.7,99.9,100.0,100.0,99.8,..
Bulgaria,99.8,99.4,99.5,..,..,99.7,99.7,99.8,..,..,..
Burkina Faso,..,..,65.9,..,..,..,..,79.8,..,..,..
Burundi,25.2,31.8,60.3,..,..,..,..,..,..,85.1,..
Cabo Verde,..,77.5,98.5,98.7,..,92.3,95.6,91.4,92.6,..,..
Cambodia,31.8,43.8,71.0,71.7,..,..,89.0,..,..,..,..
Cameroon,56.0,..,..,56.1,..,..,64.7,..,..,..,..
Canada,99.3,98.8,98.5,98.4,98.1,98.0,97.9,97.9,97.8,97.9,..
Central African Republic,31.7,..,40.0,..,..,..,..,..,..,..,..
Chad,13.7,..,16.6,..,..,..,..,20.2,..,..,..
Chile,99.0,99.8,99.8,99.8,99.8,99.8,99.8,99.7,99.7,..,..
China,96.6,97.5,99.6,99.7,99.8,99.9,99.9,99.9,99.9,..,..
Colombia,86.1,90.7,94.8,99.2,98.7,98.7,98.9,95.9,..,99.3,99.2
Comoros,61.8,..,..,..,82.2,..,..,..,..,..,..
Congo,..,83.4,..,..,92.5,..,..,91.2,..,..,..
Congo (Democratic Republic of the),..,..,74.1,..,..,..,80.1,..,..,..,..
Costa Rica,96.6,98.5,95.3,98.4,98.9,99.0,99.2,90.0,98.8,98.7,..
Croatia,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,..
Cuba,99.9,99.9,99.9,99.9,99.9,99.9,99.4,99.9,99.9,99.9,..
Cyprus,97.9,99.3,98.6,98.3,98.7,99.9,97.4,97.1,95.6,96.0,..
Czechia,99.8,99.8,99.7,99.9,99.9,99.8,99.8,..,..,99.8,..
C̫te d'Ivoire,62.8,55.1,..,..,59.4,..,..,..,73.7,..,..
Denmark,98.8,98.8,98.5,98.5,98.2,96.3,95.9,95.4,94.4,94.7,..
Djibouti,..,..,..,..,87.4,..,..,..,..,..,..
Dominica,100.0,99.0,..,100.0,100.0,100.0,100.0,96.0,96.0,97.0,..
Dominican Republic,97.6,..,97.8,98.7,98.8,98.6,97.7,99.6,99.8,..,..
Ecuador,..,78.5,87.4,89.7,91.7,93.3,94.7,94.2,95.9,96.4,..
Egypt,60.9,74.2,..,..,..,..,91.5,..,..,..,..
El Salvador,..,87.2,98.0,99.0,99.5,99.8,98.0,99.9,99.9,99.9,..
Equatorial Guinea,64.6,..,..,68.3,..,..,..,..,..,..,..
Eritrea,..,..,34.1,..,..,..,..,..,..,..,..
Estonia,99.5,99.6,99.3,99.4,99.3,99.4,99.4,99.5,99.4,99.2,..
Eswatini (Kingdom of),65.4,..,82.0,..,..,..,88.3,..,..,..,..
Ethiopia,5.6,5.7,..,10.0,..,..,15.5,..,27.7,..,..
Fiji,96.9,97.2,99.7,99.6,99.3,99.7,99.7,99.9,99.8,..,..
Finland,98.4,99.8,99.8,99.7,99.8,..,99.7,99.9,99.9,99.9,..
France,..,97.9,97.5,96.2,97.1,98.3,98.3,97.7,97.4,98.0,..
Gabon,85.5,..,..,..,89.3,..,..,..,..,..,..
Gambia,51.6,..,56.1,..,..,57.2,..,..,..,..,..
Georgia,95.5,98.3,99.6,99.8,99.8,99.9,99.9,99.9,99.9,..,..
Germany,98.6,98.2,98.3,98.3,98.5,98.5,98.5,98.7,97.7,98.7,..
Ghana,..,..,..,67.2,..,..,70.8,..,..,78.1,..
Greece,99.9,100.0,100.0,100.0,99.9,99.9,99.9,99.9,99.9,99.9,..
Grenada,100.0,100.0,..,100.0,99.0,99.0,99.0,98.6,99.3,98.9,..
Guatemala,..,..,52.3,..,..,62.8,..,65.5,69.2,..,..
Guinea,..,38.0,..,..,45.3,..,..,..,62.7,..,55.3
Guinea-Bissau,31.8,..,43.0,..,..,..,45.0,..,..,..,..
Guyana,82.9,96.7,..,..,..,..,85.7,..,..,..,..
Haiti,23.8,..,..,..,37.3,48.6,..,..,..,41.6,..
Honduras,..,..,..,..,82.8,..,..,72.0,79.0,74.0,..
Hungary,99.5,99.6,99.1,99.0,99.0,99.1,99.2,99.6,99.7,99.7,..
Iceland,99.3,99.0,98.2,97.9,97.8,98.1,97.8,98.2,97.9,..,..
India,42.5,..,..,..,..,..,81.4,..,81.4,..,..
Indonesia,..,..,..,..,83.1,87.4,..,..,92.6,93.3,93.6
Iran (Islamic Republic of),89.6,97.3,96.4,98.5,98.8,98.8,99.0,..,..,..,..
Iraq,65.2,..,..,90.9,70.4,..,..,..,..,..,95.6
Ireland,99.6,99.7,99.8,99.8,99.8,99.8,99.7,99.7,99.7,..,..
Italy,99.8,99.8,99.9,99.9,..,99.9,99.9,99.9,..,..,..
Jamaica,..,96.7,..,99.1,..,..,..,99.4,97.6,..,..
Japan,99.8,99.8,99.8,99.8,99.8,..,99.8,99.9,99.8,99.9,..
Jordan,..,..,..,..,99.6,..,..,..,..,..,99.7
Kazakhstan,98.3,99.4,99.4,99.9,100.0,100.0,100.0,99.4,..,..,..
Kenya,42.6,..,..,..,..,..,61.8,..,..,..,..
Kiribati,85.0,63.0,98.3,..,..,..,..,..,..,..,..
Korea (Democratic People's Rep. of),96.7,..,..,..,..,..,..,..,..,99.5,..
Korea (Republic of),99.9,..,..,..,99.8,..,..,100.0,..,..,..
Kuwait,..,98.6,98.6,98.8,98.8,98.7,98.7,99.9,99.9,..,..
Kyrgyzstan,98.6,97.9,98.3,98.6,99.1,99.0,98.4,..,..,..,..
Lao People's Democratic Republic,16.7,14.6,..,..,40.1,..,..,..,..,64.4,..
Latvia,..,..,98.8,98.6,98.6,98.4,98.1,99.9,99.9,99.9,..
Lebanon,99.9,..,..,..,..,..,..,..,..,..,..
Lesotho,48.1,..,..,..,..,..,77.9,..,..,..,..
Liberia,50.9,..,..,..,..,61.1,..,..,..,..,..
Libya,..,..,99.9,99.9,99.9,99.9,..,..,..,..,..
Lithuania,100.0,100.0,100.0,100.0,100.0,100.0,100.0,..,..,..,..
Madagascar,47.0,..,..,..,..,44.3,..,..,..,..,..
Malawi,55.6,..,71.4,..,..,..,87.4,..,89.8,..,..
Malaysia,96.6,98.1,98.6,98.6,98.7,98.8,99.0,99.4,99.5,..,..
Maldives,..,91.6,98.2,98.8,95.5,95.6,95.6,..,..,..,..
Mali,..,..,..,..,..,..,..,43.7,..,..,67.3
Malta,..,99.7,99.8,99.8,99.5,99.9,99.9,99.8,99.8,99.7,..
Marshall Islands,..,..,90.0,90.1,..,..,..,..,..,92.4,..
Mauritania,..,..,..,65.1,..,..,..,69.3,..,..,..
Mauritius,99.7,99.2,99.5,..,99.5,..,99.8,99.8,99.8,..,..
Mexico,88.6,..,..,..,99.6,..,95.6,97.7,..,..,..
Micronesia (Federated States of),82.8,82.7,..,..,..,..,..,..,..,..,..
Moldova (Republic of),98.0,99.5,99.2,99.4,99.2,99.8,99.7,..,..,..,..
Mongolia,96.6,99.2,98.8,..,..,98.9,..,..,..,..,..
Montenegro,99.1,99.0,..,..,..,99.0,..,..,..,..,..
Morocco,..,..,74.1,73.6,..,..,..,..,..,..,86.6
Mozambique,..,..,..,54.3,..,..,..,73.0,..,..,..
Myanmar,..,..,70.6,..,..,..,..,..,60.2,..,..
Namibia,75.5,..,..,..,..,88.2,..,..,..,..,..
Nepal,11.9,..,..,36.0,..,..,55.6,..,58.0,..,..
New Zealand,97.3,94.0,96.2,96.7,..,..,96.6,96.3,..,..,..
Nicaragua,..,..,74.0,..,88.0,..,..,88.0,88.0,89.6,..
Niger,15.7,..,..,..,29.3,..,..,39.7,..,..,..
Nigeria,..,..,..,47.3,..,35.2,..,..,..,43.0,..
North Macedonia,97.7,99.1,99.9,89.1,99.9,99.9,99.9,99.9,99.9,99.9,..
Norway,99.0,99.2,99.1,99.2,99.2,99.1,99.1,99.1,99.1,99.2,..
Oman,94.7,98.0,98.6,98.6,98.6,98.6,99.1,..,..,..,..
Pakistan,..,31.0,..,43.0,51.0,52.1,..,..,..,..,69.3
Palau,100.0,..,99.6,100.0,97.4,99.1,100.0,100.0,100.0,100.0,..
"Palestine, State of",97.4,..,99.0,..,..,..,99.6,..,..,..,..
Panama,90.5,91.1,92.7,93.5,94.3,91.4,93.9,95.0,94.6,94.2,..
Paraguay,..,87.5,95.6,96.3,95.7,..,96.4,96.3,95.5,97.3,..
Peru,59.3,..,83.8,85.0,86.7,89.1,90.0,91.6,92.4,93.6,93.1
Philippines,58.0,..,..,72.2,..,72.8,..,..,..,84.4,..
Poland,99.4,99.3,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,..
Portugal,..,..,..,..,..,99.0,98.9,98.9,98.8,98.8,..
Qatar,100.0,100.0,100.0,100.0,100.0,..,99.9,99.9,100.0,100.0,..
Romania,99.0,98.1,99.5,99.4,99.5,98.5,98.5,95.2,..,..,..
Russian Federation,99.2,99.4,99.7,98.7,99.7,99.7,99.7,..,..,..,..
Rwanda,21.9,38.6,69.0,..,..,..,..,90.7,..,..,..
Saint Kitts and Nevis,99.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,..,..,..
Saint Lucia,100.0,100.0,98.5,..,98.7,..,99.1,99.1,..,99.0,..
Saint Vincent and the Grenadines,100.0,100.0,98.3,98.8,99.2,99.0,99.0,98.7,98.6,..,..
Samoa,80.0,..,..,..,..,..,82.5,..,..,..,..
Sao Tome and Principe,78.6,..,..,..,..,..,92.5,..,..,..,..
Saudi Arabia,91.0,96.0,97.0,..,..,98.0,..,..,..,99.7,..
Senegal,57.8,51.9,..,65.1,..,50.5,59.1,53.2,58.6,68.4,..
Serbia,98.0,99.7,99.7,99.0,99.0,99.9,98.4,..,..,..,..
Seychelles,99.0,99.0,99.0,99.0,99.0,..,..,..,..,..,..
Sierra Leone,37.1,40.0,60.8,..,..,59.7,..,..,..,81.6,..
Singapore,99.7,99.7,99.7,99.7,99.7,99.6,99.7,99.6,99.6,99.6,..
Slovakia,100.0,99.5,99.2,99.0,99.5,98.6,98.5,..,..,..,..
Slovenia,99.9,99.9,99.9,99.9,99.8,..,..,..,..,..,..
Solomon Islands,..,..,..,..,..,..,..,86.2,..,..,..
South Africa,..,..,..,..,..,..,..,..,96.7,..,..
South Sudan,..,..,19.4,..,..,..,..,..,..,..,..
Sri Lanka,96.0,..,..,..,..,..,..,..,..,..,..
Sudan,..,..,72.5,..,..,..,77.7,..,..,..,..
Suriname,70.9,..,90.0,..,..,..,..,80.0,..,..,..
Tajikistan,70.7,82.4,87.7,89.0,87.4,90.8,90.3,..,..,94.8,..
Tanzania (United Republic of),..,..,48.9,..,..,..,..,..,63.5,..,..
Thailand,99.3,..,..,..,99.6,..,..,..,99.1,..,..
Timor-Leste,..,..,29.3,..,..,..,..,..,56.7,..,..
Togo,35.4,..,43.9,..,..,..,44.6,..,..,..,..
Tonga,95.0,96.1,99.0,..,95.5,..,..,..,..,..,..
Trinidad and Tobago,96.0,..,..,..,100.0,100.0,100.0,99.9,100.0,100.0,..
Tunisia,89.9,..,..,..,73.6,..,..,..,..,..,..
Turkey,..,..,..,..,..,..,97.4,99.0,..,98.0,..
Turkmenistan,97.2,..,..,..,..,..,..,..,100.0,..,..
Tuvalu,100.0,..,..,..,..,..,..,..,..,..,..
Uganda,36.0,..,..,57.4,..,..,..,..,74.2,..,..
Ukraine,99.9,99.8,99.9,99.9,99.0,99.9,99.9,..,..,..,..
United Arab Emirates,..,..,..,..,..,99.9,99.9,99.9,..,..,..
United States,99.4,99.4,99.4,99.3,99.3,99.2,98.5,99.1,99.1,99.1,..
Uruguay,99.7,99.9,99.8,99.5,99.9,98.2,99.9,99.9,..,99.7,..
Uzbekistan,94.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,..,..,..
Vanuatu,88.0,92.0,..,..,..,89.4,..,..,..,..,..
Venezuela (Bolivarian Republic of),94.0,..,..,98.1,96.0,..,99.5,97.3,96.2,95.4,..
Viet Nam,58.8,..,..,91.9,..,..,93.8,..,..,..,..
Yemen,..,..,..,..,34.4,44.7,..,..,..,..,..
Zambia,..,..,..,..,..,..,63.3,..,..,..,..
Zimbabwe,..,..,..,66.2,..,..,80.0,78.1,..,..,..
Belgium,..,..,..,..,..,..,..,..,..,..,..
Switzerland,..,..,..,..,..,..,..,..,..,..,..
Spain,..,..,..,..,..,..,..,..,..,..,..
United Kingdom,..,..,..,..,..,..,..,..,..,..,..
"Hong Kong, China (SAR)",..,..,..,..,..,..,..,..,..,..,..
Israel,..,..,..,..,..,..,..,..,..,..,..
Liechtenstein,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,..,..,..,..,..,..,..,..,..,..,..
Netherlands,..,..,..,..,..,..,..,..,..,..,..
Papua New Guinea,..,..,..,..,..,..,..,..,..,..,..
Sweden,..,..,..,..,..,..,..,..,..,..,..
Syrian Arab Republic,..,..,..,..,..,..,..,..,..,..,..
